date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate
31/01/2020,2,2,,,,,0.029,0.029,,,,,
01/02/2020,2,0,,,,,0.029,0,,,,,
02/02/2020,2,0,,,,,0.029,0,,,,,
03/02/2020,8,6,,,,,0.117,0.088,,,,,
04/02/2020,8,0,,,,,0.117,0,,,,,
05/02/2020,9,1,1.286,,,0,0.132,0.015,0.019,,,0,
06/02/2020,9,0,1.286,,,0,0.132,0,0.019,,,0,
07/02/2020,9,0,1,,,0,0.132,0,0.015,,,0,
08/02/2020,13,4,1.571,,,0,0.191,0.059,0.023,,,0,
09/02/2020,14,1,1.714,,,0,0.205,0.015,0.025,,,0,
10/02/2020,14,0,0.857,,,0,0.205,0,0.013,,,0,
11/02/2020,15,1,1,,,0,0.22,0.015,0.015,,,0,
12/02/2020,16,1,1,,,0,0.235,0.015,0.015,,,0,
13/02/2020,17,1,1.143,,,0,0.249,0.015,0.017,,,0,
14/02/2020,18,1,1.286,,,0,0.264,0.015,0.019,,,0,
15/02/2020,18,0,0.714,,,0,0.264,0,0.01,,,0,
16/02/2020,18,0,0.571,,,0,0.264,0,0.008,,,0,
17/02/2020,19,1,0.714,,,0,0.279,0.015,0.01,,,0,
18/02/2020,19,0,0.571,,,0,0.279,0,0.008,,,0,
19/02/2020,20,1,0.571,,,0,0.293,0.015,0.008,,,0,
20/02/2020,22,2,0.714,,,0,0.323,0.029,0.01,,,0,
21/02/2020,23,1,0.714,,,0,0.337,0.015,0.01,,,0,
22/02/2020,23,0,0.714,,,0,0.337,0,0.01,,,0,
23/02/2020,28,5,1.429,,,0,0.411,0.073,0.021,,,0,
24/02/2020,30,2,1.571,,,0,0.44,0.029,0.023,,,0,
25/02/2020,34,4,2.143,,,0,0.498,0.059,0.031,,,0,
26/02/2020,37,3,2.429,,,0,0.542,0.044,0.036,,,0,
27/02/2020,44,7,3.143,,,0,0.645,0.103,0.046,,,0,
28/02/2020,56,12,4.714,,,0,0.821,0.176,0.069,,,0,
29/02/2020,61,5,5.429,,,0,0.894,0.073,0.08,,,0,
01/03/2020,94,33,9.429,,,0,1.378,0.484,0.138,,,0,
02/03/2020,134,40,14.857,,,0,1.965,0.586,0.218,,,0,
03/03/2020,189,55,22.143,,,0,2.771,0.806,0.325,,,0,2.11
04/03/2020,246,57,29.857,,,0,3.607,0.836,0.438,,,0,2.05
05/03/2020,295,49,35.857,,,0,4.325,0.718,0.526,,,0,2.08
06/03/2020,374,79,45.429,1,1,0.143,5.483,1.158,0.666,0.015,0.015,0.002,2.24
07/03/2020,429,55,52.571,2,1,0.286,6.29,0.806,0.771,0.029,0.015,0.004,2.36
08/03/2020,483,54,55.571,2,0,0.286,7.081,0.792,0.815,0.029,0,0.004,2.58
09/03/2020,630,147,70.857,3,1,0.429,9.237,2.155,1.039,0.044,0.015,0.006,3
10/03/2020,889,259,100,7,4,1,13.034,3.797,1.466,0.103,0.059,0.015,3.35
11/03/2020,1301,412,150.714,7,0,1,19.074,6.04,2.21,0.103,0,0.015,3.46
12/03/2020,1790,489,213.571,9,2,1.286,26.244,7.169,3.131,0.132,0.029,0.019,3.24
13/03/2020,2270,480,270.857,10,1,1.286,33.281,7.037,3.971,0.147,0.015,0.019,2.85
14/03/2020,2634,364,315,29,19,3.857,38.618,5.337,4.618,0.425,0.279,0.057,2.56
15/03/2020,3077,443,370.571,43,14,5.857,45.113,6.495,5.433,0.63,0.205,0.086,2.4
16/03/2020,3692,615,437.429,66,23,9,54.129,9.017,6.413,0.968,0.337,0.132,2.23
17/03/2020,4462,770,510.429,83,17,10.857,65.418,11.289,7.484,1.217,0.249,0.159,2.16
18/03/2020,5468,1006,595.286,118,35,15.857,80.168,14.749,8.728,1.73,0.513,0.232,2.18
19/03/2020,6534,1066,677.714,164,46,22.143,95.796,15.629,9.936,2.404,0.674,0.325,2.21
20/03/2020,7792,1258,788.857,196,32,26.571,114.24,18.444,11.566,2.874,0.469,0.39,2.26
21/03/2020,9007,1215,910.429,254,58,32.143,132.054,17.813,13.348,3.724,0.85,0.471,2.3
22/03/2020,10395,1388,1045.429,289,35,35.143,152.403,20.35,15.327,4.237,0.513,0.515,2.31
23/03/2020,12744,2349,1293.143,365,76,42.714,186.843,34.439,18.959,5.351,1.114,0.626,2.26
24/03/2020,15126,2382,1523.429,513,148,61.429,221.766,34.923,22.335,7.521,2.17,0.901,2.11
25/03/2020,17843,2717,1767.857,704,191,83.714,261.6,39.835,25.919,10.322,2.8,1.227,2.02
26/03/2020,20970,3127,2062.286,886,182,103.143,307.446,45.846,30.236,12.99,2.668,1.512,1.99
27/03/2020,24219,3249,2346.714,1174,288,139.714,355.08,47.634,34.406,17.212,4.222,2.048,1.95
28/03/2020,27062,2843,2579.286,1466,292,173.143,396.762,41.682,37.815,21.493,4.281,2.538,1.9
29/03/2020,29954,2892,2794.143,1679,213,198.571,439.162,42.4,40.966,24.616,3.123,2.911,1.83
30/03/2020,34281,4327,3076.714,2053,374,241.143,502.602,63.439,45.108,30.099,5.483,3.535,1.74
31/03/2020,38815,4534,3384.143,2457,404,277.714,569.076,66.474,49.616,36.023,5.923,4.072,1.64
01/04/2020,43789,4974,3706.571,3130,673,346.571,642,72.925,54.343,45.89,9.867,5.081,1.57
02/04/2020,48718,4929,3964,3787,657,414.429,714.266,72.265,58.117,55.522,9.632,6.076,1.52
03/04/2020,53699,4981,4211.429,4524,737,478.571,787.293,73.028,61.745,66.327,10.805,7.016,1.49
04/04/2020,57772,4073,4387.143,5281,757,545,847.008,59.715,64.321,77.426,11.099,7.99,1.44
05/04/2020,61422,3650,4495.429,5882,601,600.429,900.522,53.513,65.908,86.237,8.811,8.803,1.37
06/04/2020,66738,5316,4636.714,6452,570,628.429,978.461,77.939,67.98,94.594,8.357,9.214,1.28
07/04/2020,72224,5486,4772.714,7557,1105,728.571,1058.892,80.431,69.974,110.795,16.201,10.682,1.2
08/04/2020,77387,5163,4799.714,8589,1032,779.857,1134.588,75.696,70.37,125.925,15.13,11.434,1.12
09/04/2020,82293,4906,4796.429,9706,1117,845.571,1206.516,71.928,70.322,142.302,16.377,12.397,1.09
10/04/2020,86660,4367,4708.714,10829,1123,900.714,1270.542,64.026,69.036,158.766,16.465,13.206,1.08
11/04/2020,90273,3613,4643,11673,844,913.143,1323.513,52.971,68.072,171.141,12.374,13.388,1.08
12/04/2020,93812,3539,4627.143,12330,657,921.143,1375.399,51.886,67.84,180.773,9.632,13.505,1.06
13/04/2020,98017,4205,4468.429,13055,725,943.286,1437.05,61.65,65.513,191.402,10.629,13.83,1
14/04/2020,102365,4348,4305.857,14135,1080,939.714,1500.797,63.747,63.129,207.236,15.834,13.777,0.99
15/04/2020,107465,5100,4296.857,15019,884,918.571,1575.569,74.772,62.997,220.197,12.961,13.467,1.03
16/04/2020,112808,5343,4359.286,16059,1040,907.571,1653.904,78.335,63.912,235.445,15.248,13.306,1.08
17/04/2020,117798,4990,4448.286,16973,914,877.714,1727.063,73.16,65.217,248.845,13.4,12.868,1.12
